#name	status	length	unknown percent	pvalue brute	pvalue corrected	number of convergent sites	convergent sites
PRRC2C	*	1439	0.00e+00	8.9298e-16	5.6544e-12	10	659, 792, 846, 991, 1006, 1011, 1076, 1096, 1100, 1283
FRY	*	2292	0.00e+00	3.8565e-12	1.2210e-08	9	500, 563, 672, 1259, 1951, 1967, 1971, 2197, 2262
ARFGEF1	 	1164	0.00e+00	1.6031e-07	3.3836e-04	5	276, 391, 1136, 1149, 1161
EML4	 	600	0.00e+00	5.0975e-07	8.0693e-04	4	17, 144, 389, 422
KMT2A	 	1683	0.00e+00	9.7285e-07	1.2320e-03	5	4, 290, 482, 525, 874
DGKH	*	715	0.00e+00	1.0202e-06	1.0767e-03	4	46, 235, 393, 694
CLSTN2	 	244	0.00e+00	2.3486e-06	2.1245e-03	3	52, 112, 160
TTC39B	*	264	0.00e+00	2.9731e-06	2.3532e-03	3	98, 114, 215
NEB	*	4822	0.00e+00	1.1539e-05	8.1187e-03	6	408, 1728, 2063, 2189, 3334, 4423
PLK2	 	443	0.00e+00	1.3925e-05	8.8173e-03	3	290, 308, 375
ATP6V1A	 	501	0.00e+00	2.0070e-05	1.1553e-02	3	9, 133, 462
MCM6	*	547	0.00e+00	2.6045e-05	1.3743e-02	3	278, 426, 427
KIAA0232	 	557	0.00e+00	2.7482e-05	1.3386e-02	3	12, 16, 335
USP24	 	1726	0.00e+00	3.2121e-05	1.4528e-02	4	323, 735, 1523, 1577
ZFYVE1	*	592	0.00e+00	3.2919e-05	1.3896e-02	3	42, 63, 547
RAD54L2	 	600	0.00e+00	3.4254e-05	1.3556e-02	3	297, 488, 568
ERCC6L	 	600	0.00e+00	3.4254e-05	1.2759e-02	3	484, 559, 594
FGF20	 	84	0.00e+00	3.4670e-05	1.2196e-02	2	81, 83
HIF1A	 	615	0.00e+00	3.6851e-05	1.2281e-02	3	450, 497, 594
WDR66	*	95	0.00e+00	4.4374e-05	1.4049e-02	2	17, 65
CLSTN1	 	672	0.00e+00	4.7892e-05	1.4440e-02	3	219, 262, 597
YEATS2	 	686	0.00e+00	5.0899e-05	1.4650e-02	3	117, 483, 649
LARS	 	721	0.00e+00	5.8952e-05	1.6230e-02	3	274, 566, 717
TJP2	 	751	0.00e+00	6.6483e-05	1.7541e-02	3	448, 546, 626
USP9X	 	2173	0.00e+00	7.7937e-05	1.9740e-02	4	189, 1633, 1666, 1721
USH2A	 	129	0.00e+00	8.1864e-05	1.9937e-02	2	8, 10
SI	 	821	0.00e+00	8.6437e-05	2.0271e-02	3	83, 412, 544
UBR4	 	2322	0.00e+00	1.0044e-04	2.2713e-02	4	1508, 1791, 1837, 2116
PCDH17	 	867	0.00e+00	1.0147e-04	2.2155e-02	3	57, 77, 250
ZNF143	 	149	0.00e+00	1.0919e-04	2.3045e-02	2	49, 96
DOCK9	 	913	0.00e+00	1.1810e-04	2.4123e-02	3	166, 440, 783
NUP210L	 	915	0.00e+00	1.1886e-04	2.3520e-02	3	306, 314, 782
EPHA7	 	917	0.00e+00	1.1963e-04	2.2954e-02	3	196, 389, 441
CPS1	 	919	0.00e+00	1.2039e-04	2.2422e-02	3	735, 796, 839
